"report_number","local_case_number","agency_name","acrs_report_type","crash_date_time","route_type","road_name","cross_street_type","cross_street_name","off_road_description","municipality","related_non_motorist","collision_type","weather","surface_condition","light","traffic_control","driver_substance_abuse","non_motorist_substance_abuse","person_id","driver_at_fault","injury_severity","circumstance","driver_distracted_by","drivers_license_state","vehicle_id","vehicle_damage_extent","vehicle_first_impact_location","vehicle_second_impact_location","vehicle_body_type","vehicle_movement","vehicle_continuing_dir","vehicle_going_dir","speed_limit","driverless_vehicle","parked_vehicle","vehicle_year","vehicle_make","vehicle_model","equipment_problems","latitude","longitude","geolocation"
"MCP33120012","220017655","Montgomery County Police","Injury Crash","2022-04-26T08:50:00.000","US (State)","COLUMBIA PIKE","Unknown","ENT TO BURNT MILLS SHOPPING CENTER",,"N/A",,"SAME DIR REAR END","CLEAR","DRY","DAYLIGHT","TRAFFIC SIGNAL","N/A",,"8059DA57-7FD5-4077-B3F5-9A83F5E3B008","No","POSSIBLE INJURY","N/A","NOT DISTRACTED","MD","2514A0C5-65B5-4429-B221-18CA30D72140","SUPERFICIAL","SIX OCLOCK","SIX OCLOCK","PASSENGER CAR","SLOWING OR STOPPING","South","South","35","No","No","2014","MERZ","TK","N/A","39.031575","-77.00488","
,  
(39.031575, -77.00488)"
"MCP2269001Y","220017649","Montgomery County Police","Injury Crash","2022-04-26T07:38:00.000","Maryland (State)","WOODFIELD RD","County","EMORY GROVE RD",,"N/A",,"STRAIGHT MOVEMENT ANGLE","CLOUDY","DRY","DAYLIGHT","TRAFFIC SIGNAL","NONE DETECTED",,"AC96526E-B81C-48A0-9F91-E5EA71619A27","Yes","NO APPARENT INJURY","N/A","NOT DISTRACTED","MD","BC07244F-CF99-4AB3-B563-E806D84312E1","DISABLING","TWELVE OCLOCK","TWELVE OCLOCK","PASSENGER CAR","MOVING CONSTANT SPEED","North","North","35","No","No","2013","FORD","C MAX","NO MISUSE","39.15208705","-77.17236564","
,  
(39.15208705, -77.17236564)"
"MCP2269001Y","220017649","Montgomery County Police","Injury Crash","2022-04-26T07:38:00.000","Maryland (State)","WOODFIELD RD","County","EMORY GROVE RD",,"N/A",,"STRAIGHT MOVEMENT ANGLE","CLOUDY","DRY","DAYLIGHT","TRAFFIC SIGNAL","NONE DETECTED",,"F1708002-4667-41D0-B162-246FEC257E95","No","POSSIBLE INJURY","N/A","NOT DISTRACTED","MD","B77968B6-8F76-4DD7-9DCC-AAD6A35BAA38","DISABLING","TEN OCLOCK","TEN OCLOCK","PASSENGER CAR","MOVING CONSTANT SPEED","West","West","35","No","No","2006","TOYT","TK","NO MISUSE","39.15208705","-77.17236564","
,  
(39.15208705, -77.17236564)"
"MCP263900F1","220017644","Montgomery County Police","Property Damage Crash","2022-04-26T07:12:00.000","Maryland (State)","MAIN ST","Maryland (State)","WOODFIELD RD",,"N/A",,"SINGLE VEHICLE","CLOUDY","DRY","DAYLIGHT","TRAFFIC SIGNAL","NONE DETECTED",,"6704B08F-D473-454D-A650-1B4F06C3747C","No","NO APPARENT INJURY","ANIMAL, N/A","NOT DISTRACTED","MD","D57EEF59-00C2-4754-89F0-BFD4E6518BEA","SUPERFICIAL","TEN OCLOCK","TEN OCLOCK","PICKUP TRUCK","STOPPED IN TRAFFIC LANE","South","West","30","No","No","2018","CHEVROLET","COLORADO","NO MISUSE","39.28725","-77.20203333","
,  
(39.28725, -77.20203333)"
"MCP2347003J","220017638","Montgomery County Police","Injury Crash","2022-04-26T06:11:00.000","County","BRIGGS CHANEY RD","County","CASTLE BLVD",,"N/A",,"HEAD ON LEFT TURN","CLEAR","DRY","DUSK","TRAFFIC SIGNAL","NONE DETECTED",,"711DDB12-AC36-498C-A1BE-6BCEEED71530","Yes","NO APPARENT INJURY","N/A","NOT DISTRACTED","MD","FCA0B75F-3443-44DF-8107-BBC08ED0D32D","DISABLING","ONE OCLOCK","ONE OCLOCK","PASSENGER CAR","MAKING LEFT TURN","South","South","30","No","No","2019","BMW","XL","NO MISUSE","39.08099338","-76.94635583","
,  
(39.08099338, -76.94635583)"
"MCP2347003J","220017638","Montgomery County Police","Injury Crash","2022-04-26T06:11:00.000","County","BRIGGS CHANEY RD","County","CASTLE BLVD",,"N/A",,"HEAD ON LEFT TURN","CLEAR","DRY","DUSK","TRAFFIC SIGNAL","NONE DETECTED",,"9852C223-983D-4FA0-8807-725EDF725192","No","SUSPECTED MINOR INJURY","N/A","NOT DISTRACTED","MD","9B2BFA1C-C6E7-4365-9A15-EF7E813B1A8A","DISABLING","TWELVE OCLOCK","TWELVE OCLOCK","PASSENGER CAR","MOVING CONSTANT SPEED","East","East","30","No","No","2015","JEEP","GRAND CHER","NO MISUSE","39.08099338","-76.94635583","
,  
(39.08099338, -76.94635583)"
"MCP2907002M","220017635","Montgomery County Police","Property Damage Crash","2022-04-26T03:17:00.000","Maryland (State)","WISCONSIN AVE","County","CORDELL AVE",,"N/A",,"SINGLE VEHICLE","CLEAR","DRY","DARK LIGHTS ON","NO CONTROLS","NONE DETECTED",,"8CC4CF01-3F2B-451A-BC51-F8AEE08E1BE5","Yes","NO APPARENT INJURY","N/A","NOT DISTRACTED","PA","030B8CD7-8B72-490D-81C8-2D075978F6EC","DISABLING","ELEVEN OCLOCK","ELEVEN OCLOCK","PASSENGER CAR","MOVING CONSTANT SPEED","South","South","25","No","No","2021","TOYOTA","COROLLA","NO MISUSE","38.990965","-77.09553667","
,  
(38.990965, -77.09553667)"
"MCP32800022","220017630","Montgomery County Police","Property Damage Crash","2022-04-25T23:15:00.000",,,,,"PARKING LOT OF 608 BEACON RD, SILVER SPRING, MD 20903",,,"OTHER","CLEAR",,"DARK LIGHTS ON","NO CONTROLS","ALCOHOL PRESENT",,"DC86A4CE-DB3F-439A-BF20-6755C4ACAC65","Yes","NO APPARENT INJURY","N/A","NOT DISTRACTED","XX","C619AF0A-EA04-4DA8-AAB7-BD8679EC91C9","DISABLING","ELEVEN OCLOCK","ELEVEN OCLOCK","PASSENGER CAR","MOVING CONSTANT SPEED","South","South","5","No","No","2016","CHEVY","EQUINOX","NO MISUSE","39.006995","-76.98500167","
,  
(39.006995, -76.98500167)"
"MCP25340046","220017627","Montgomery County Police","Injury Crash","2022-04-25T22:27:00.000","Maryland (State)","UNIVERSITY BLVD W","Unknown","EXIT FR NORTHWOOD HIGH SCHOOL",,"N/A",,"SAME DIR REAR END","CLEAR","DRY","DARK LIGHTS ON","TRAFFIC SIGNAL","UNKNOWN",,"DFC3C81B-F542-4C44-953B-A0C9261BBBB0","Yes","NO APPARENT INJURY","N/A","UNKNOWN",,"41316990-36A4-4B31-98CA-182F71417885","FUNCTIONAL","TWELVE OCLOCK","TWELVE OCLOCK","(SPORT) UTILITY VEHICLE","SLOWING OR STOPPING","West","West","35","No","No","2007","JEEP","CHEROKEE","UNKNOWN","39.03447083","-77.0242445","
,  
(39.03447083, -77.0242445)"
"MCP25340046","220017627","Montgomery County Police","Injury Crash","2022-04-25T22:27:00.000","Maryland (State)","UNIVERSITY BLVD W","Unknown","EXIT FR NORTHWOOD HIGH SCHOOL",,"N/A",,"SAME DIR REAR END","CLEAR","DRY","DARK LIGHTS ON","TRAFFIC SIGNAL","NONE DETECTED",,"0352B250-FEC6-4F91-A297-66B9D364AF74","No","SUSPECTED MINOR INJURY","N/A","NOT DISTRACTED","NY","87D4C57A-0A83-42CE-ABAD-8D27D576D695","FUNCTIONAL","SIX OCLOCK","SIX OCLOCK","(SPORT) UTILITY VEHICLE","STOPPED IN TRAFFIC LANE","West","West","35","No","No","2019","HONDA","CRV","NO MISUSE","39.03447083","-77.0242445","
,  
(39.03447083, -77.0242445)"
"MCP3230002T","220017611","Montgomery County Police","Injury Crash","2022-04-25T19:50:00.000","Maryland (State)","CONNECTICUT AVE","Unknown","CROSSOVER",,"N/A",,"STRAIGHT MOVEMENT ANGLE","CLEAR","DRY","DAYLIGHT","STOP SIGN","NONE DETECTED",,"4D8F9EEF-00FE-4FBB-9441-47A5D348D34A","No","SUSPECTED MINOR INJURY","N/A","NOT DISTRACTED","MD","E9FDB9FC-3F70-40F5-BC08-F95A87F69138","DISABLING","TWELVE OCLOCK","TWELVE OCLOCK","PASSENGER CAR","MOVING CONSTANT SPEED","North","North","35","No","No","2020","KTM","MC","NO MISUSE","39.07799133","-77.0808785","
,  
(39.07799133, -77.0808785)"
"MCP3230002T","220017611","Montgomery County Police","Injury Crash","2022-04-25T19:50:00.000","Maryland (State)","CONNECTICUT AVE","Unknown","CROSSOVER",,"N/A",,"STRAIGHT MOVEMENT ANGLE","CLEAR","DRY","DAYLIGHT","STOP SIGN","NONE DETECTED",,"684A08CC-1BC1-4398-8E27-CCFE4456DB41","Yes","NO APPARENT INJURY","N/A","NOT DISTRACTED","MD","AE843B98-2E96-4A27-BAC6-45900E05B305","SUPERFICIAL","TWELVE OCLOCK","TWELVE OCLOCK","PASSENGER CAR","STARTING FROM LANE","North","West","35","No","No","2013","TOYT","TK","NO MISUSE","39.07799133","-77.0808785","
,  
(39.07799133, -77.0808785)"
"MCP3096003B","220017608","Montgomery County Police","Property Damage Crash","2022-04-25T19:35:00.000","County","SOUTHLAWN LA","County","AVERY RD",,"N/A",,"STRAIGHT MOVEMENT ANGLE","CLEAR","DRY","DUSK","STOP SIGN","NONE DETECTED",,"E1D6D8F5-5567-44A0-B5A1-B6FC10EEF111","Yes","NO APPARENT INJURY","N/A","NOT DISTRACTED","DC","611C5186-83E5-4D1F-93F9-7735337EBBA0","DISABLING","TWELVE OCLOCK","TWELVE OCLOCK","PASSENGER CAR","ACCELERATING","East","East","25","No","No","2010","TOYT","SCION","NO MISUSE","39.10670366","-77.12101555","
,  
(39.10670366, -77.12101555)"
"MCP3096003B","220017608","Montgomery County Police","Property Damage Crash","2022-04-25T19:35:00.000","County","SOUTHLAWN LA","County","AVERY RD",,"N/A",,"STRAIGHT MOVEMENT ANGLE","CLEAR","DRY","DUSK","STOP SIGN","NONE DETECTED",,"04C86572-0B65-4B68-BBFC-201B722441C3","No","NO APPARENT INJURY","N/A","NOT DISTRACTED","MD","D111081F-D84C-4B84-92D8-B38CCC78B819","DISABLING","ELEVEN OCLOCK","ELEVEN OCLOCK","PASSENGER CAR","MAKING LEFT TURN","West","North","25","No","No","2018","FORD","EXPLORER","NO MISUSE","39.10670366","-77.12101555","
,  
(39.10670366, -77.12101555)"
"MCP2708007L","220017601","Montgomery County Police","Property Damage Crash","2022-04-25T18:38:00.000","Maryland (State)","UNIVERSITY BLVD E","County","E FRANKLIN AVE",,"N/A",,"STRAIGHT MOVEMENT ANGLE","CLEAR","DRY","DAYLIGHT","TRAFFIC SIGNAL","N/A",,"311185AF-F7E0-4F6D-BAEF-0732A51832C9","Yes","NO APPARENT INJURY","N/A","UNKNOWN",,"4C1C9FC5-6CE5-4FF6-B22F-FEFDB1B51214","FUNCTIONAL","TWELVE OCLOCK","TWELVE OCLOCK","PASSENGER CAR","MAKING U TURN","East","South","35","No","No","1996","CHEVY","CAMERO","NO MISUSE","39.01212565","-77.00263456","
,  
(39.01212565, -77.00263456)"
"MCP2708007L","220017601","Montgomery County Police","Property Damage Crash","2022-04-25T18:38:00.000","Maryland (State)","UNIVERSITY BLVD E","County","E FRANKLIN AVE",,"N/A",,"STRAIGHT MOVEMENT ANGLE","CLEAR","DRY","DAYLIGHT","TRAFFIC SIGNAL","N/A",,"FEDE260E-045D-4FDA-BB87-EF2F94008D72","No","NO APPARENT INJURY","N/A","NOT DISTRACTED","MD","9149B586-3C17-4DF5-AB16-1036F958DB84","SUPERFICIAL","EIGHT OCLOCK","EIGHT OCLOCK","CARGO VAN/LIGHT TRUCK 2 AXLES (OVER 10,000LBS (4,536 KG))","MOVING CONSTANT SPEED","East","East","35","No","No","2017","FORD","SPRINTER","NO MISUSE","39.01212565","-77.00263456","
,  
(39.01212565, -77.00263456)"
"DD5644002P","220017599","Rockville Police Departme","Injury Crash","2022-04-25T18:20:00.000","Maryland (State)","VEIRS MILL RD","Municipality","MEADOW HALL DR",,"ROCKVILLE",,"STRAIGHT MOVEMENT ANGLE","CLEAR","DRY","DAYLIGHT","NO CONTROLS","NONE DETECTED",,"3FF68DFB-32CC-48CC-8ED8-D857AB8474DC","No","POSSIBLE INJURY","N/A","LOOKED BUT DID NOT SEE","MD","710FA93B-19A2-4715-A317-B0928D94DE79","DISABLING","TWELVE OCLOCK","TWELVE OCLOCK","PASSENGER CAR","MOVING CONSTANT SPEED","East","East","40","No","No","2021","CHEVY","TRAX","NO MISUSE","39.074445","-77.114432","
,  
(39.074445, -77.114432)"
"DD5644002P","220017599","Rockville Police Departme","Injury Crash","2022-04-25T18:20:00.000","Maryland (State)","VEIRS MILL RD","Municipality","MEADOW HALL DR",,"ROCKVILLE",,"STRAIGHT MOVEMENT ANGLE","CLEAR","DRY","DAYLIGHT","NO CONTROLS","NONE DETECTED",,"2BAD1FD9-5687-45D9-838D-70B18C1E6397","Yes","NO APPARENT INJURY","N/A","LOOKED BUT DID NOT SEE","MD","28C8753D-D011-42BA-8BE2-B99C3456E536","DISABLING","EIGHT OCLOCK","EIGHT OCLOCK","PASSENGER CAR","MAKING LEFT TURN","South","West","40","No","No","2021","TOYT","SD","NO MISUSE","39.074445","-77.114432","
,  
(39.074445, -77.114432)"
"MCP2507001Z","220017598","Montgomery County Police","Injury Crash","2022-04-25T18:18:00.000","Maryland (State)","DARNESTOWN RD","County","CHERRY GROVE DR",,"N/A",,"HEAD ON LEFT TURN","N/A","DRY","DAYLIGHT","YIELD SIGN","NONE DETECTED",,"4F65A767-1E16-4888-9D5C-4F7A60B75178","No","SUSPECTED SERIOUS INJURY","N/A","NOT DISTRACTED","MD","96A6F009-7BE9-4B91-9EA0-2181C0C977FA","DESTROYED","TWELVE OCLOCK","TWO OCLOCK","MOTORCYCLE","MOVING CONSTANT SPEED","East","East","40","No","No","2020","SUZUKI","GSX R750","N/A","39.10900774","-77.23719936","
,  
(39.10900774, -77.23719936)"
"MCP2507001Z","220017598","Montgomery County Police","Injury Crash","2022-04-25T18:18:00.000","Maryland (State)","DARNESTOWN RD","County","CHERRY GROVE DR",,"N/A",,"HEAD ON LEFT TURN","N/A","DRY","DAYLIGHT","YIELD SIGN","NONE DETECTED",,"C1EB68D3-1F98-4B17-9900-82FAA301CD7F","Yes","NO APPARENT INJURY","N/A","NOT DISTRACTED","MD","B0340B74-3BB3-4E4C-A13D-90ADBAEA4623","DISABLING","TWELVE OCLOCK","TWELVE OCLOCK","PASSENGER CAR","STARTING FROM LANE","South","West","40","No","No","2012","TOYOTA","CAMRY","N/A","39.10900774","-77.23719936","
,  
(39.10900774, -77.23719936)"
"MCP22910060","220017597","Montgomery County Police","Property Damage Crash","2022-04-25T17:42:00.000","County","FERNWOOD RD","County","LONE OAK DR",,"N/A",,"STRAIGHT MOVEMENT ANGLE","CLEAR","DRY","DAYLIGHT","STOP SIGN","NONE DETECTED",,"0D2365AD-C851-4920-868B-2887F9F57429","Yes","NO APPARENT INJURY","N/A","LOOKED BUT DID NOT SEE","MD","5EC625A2-2062-4AEE-9349-320C27E429C6","DISABLING","FOUR OCLOCK","FOUR OCLOCK","PASSENGER CAR","ACCELERATING","West","West","30","No","No","2017","HONDA","ACCORD","NO MISUSE","39.01978462","-77.13439571","
,  
(39.01978462, -77.13439571)"
"MCP22910060","220017597","Montgomery County Police","Property Damage Crash","2022-04-25T17:42:00.000","County","FERNWOOD RD","County","LONE OAK DR",,"N/A",,"STRAIGHT MOVEMENT ANGLE","CLEAR","DRY","DAYLIGHT","STOP SIGN","NONE DETECTED",,"E9E8D549-9F5B-4BC9-A01F-6EEBD10E4FB5","No","NO APPARENT INJURY","N/A","NOT DISTRACTED","MD","7075555F-DAB2-4763-B8AF-B82E143962E9","DISABLING","TWELVE OCLOCK","TWELVE OCLOCK","(SPORT) UTILITY VEHICLE","MOVING CONSTANT SPEED","South","South","30","No","No","2011","FORD","ESCAPE","NO MISUSE","39.01978462","-77.13439571","
,  
(39.01978462, -77.13439571)"
"EJ78780047","220017580","Gaithersburg Police Depar","Injury Crash","2022-04-25T17:00:00.000","Municipality","PERRY PKWY","Maryland (State)","W DIAMOND AVE",,"N/A",,"HEAD ON LEFT TURN","CLEAR","DRY","DAYLIGHT","NO CONTROLS","N/A",,"BAF177C5-6B5C-48A6-8308-3259FBE18D17","Yes","NO APPARENT INJURY","N/A","UNKNOWN","MD","A291BC81-CF1B-45F1-B737-8A1A02042F3A","DESTROYED","FOUR OCLOCK","FOUR OCLOCK","PASSENGER CAR","MAKING LEFT TURN","East","North","30","No","No","2015","NISSAN","ROGUE","NO MISUSE","39.1419337","-77.20953333","
,  
(39.1419337, -77.20953333)"
"EJ78780047","220017580","Gaithersburg Police Depar","Injury Crash","2022-04-25T17:00:00.000","Municipality","PERRY PKWY","Maryland (State)","W DIAMOND AVE",,"N/A",,"HEAD ON LEFT TURN","CLEAR","DRY","DAYLIGHT","NO CONTROLS","N/A",,"9E44000F-32F1-42B3-B313-87CBB74FFEAD","No","NO APPARENT INJURY","N/A","UNKNOWN","MD","0B18DBA6-94B6-4B22-A96B-5C19CED3DE2C","FUNCTIONAL","TWELVE OCLOCK","TWELVE OCLOCK","PASSENGER CAR","MOVING CONSTANT SPEED","South","South","30","No","No","2002","GMC","ENVOY","N/A","39.1419337","-77.20953333","
,  
(39.1419337, -77.20953333)"
"EJ7876004J","220017589","Gaithersburg Police Depar","Injury Crash","2022-04-25T17:00:00.000","Maryland (State)","FREDERICK RD","Municipality","ODENDHAL AVE",,"GAITHERSBURG",,"SAME DIR REAR END","CLEAR","DRY","DAYLIGHT","TRAFFIC SIGNAL","NONE DETECTED",,"692D5F97-6E55-4DDE-84DC-D0FF6C2B5266","Yes","NO APPARENT INJURY","BACKUP DUE TO REGULAR CONGESTION, N/A","LOOKED BUT DID NOT SEE","MD","6428BAEA-2E02-4194-B1A4-0BDE3EFD6C6C","SUPERFICIAL","TWELVE OCLOCK","TWELVE OCLOCK","PASSENGER CAR","SLOWING OR STOPPING","North","North","30","No","No","2020","HYUNDAI","ELANTRA","NO MISUSE","39.14842422","-77.20684407","
,  
(39.14842422, -77.20684407)"
"EJ7876004J","220017589","Gaithersburg Police Depar","Injury Crash","2022-04-25T17:00:00.000","Maryland (State)","FREDERICK RD","Municipality","ODENDHAL AVE",,"GAITHERSBURG",,"SAME DIR REAR END","CLEAR","DRY","DAYLIGHT","TRAFFIC SIGNAL","NONE DETECTED",,"BF294C0F-AEF6-4E80-AF93-00C42801C170","No","POSSIBLE INJURY","BACKUP DUE TO REGULAR CONGESTION, N/A","NOT DISTRACTED","MD","915B51FE-E939-40E7-A79F-EAB2A704CD44","SUPERFICIAL","SIX OCLOCK","SIX OCLOCK","PASSENGER CAR","SLOWING OR STOPPING","North","North","30","No","No","2020","TOYOTA","CAMRY","NO MISUSE","39.14842422","-77.20684407","
,  
(39.14842422, -77.20684407)"
"MCP2674002Z","220017563","Montgomery County Police","Property Damage Crash","2022-04-25T15:41:00.000","County","GERMANTOWN RD","Unknown","SHAKESPEARE BLVD",,"N/A",,"HEAD ON LEFT TURN","CLEAR","DRY","DAYLIGHT","STOP SIGN","UNKNOWN",,"BD24163F-3C67-4205-8E6F-0FDD89C010B6","Yes","NO APPARENT INJURY","N/A","UNKNOWN",,"9A803D62-645E-46E9-8278-0ECA793BDCC3","FUNCTIONAL","ONE OCLOCK","ONE OCLOCK",,"MAKING LEFT TURN","North","East","40","No","No","0","UNKNOWN","UNKNOWN","UNKNOWN","39.19291767","-77.23845533","
,  
(39.19291767, -77.23845533)"
"MCP2674002Z","220017563","Montgomery County Police","Property Damage Crash","2022-04-25T15:41:00.000","County","GERMANTOWN RD","Unknown","SHAKESPEARE BLVD",,"N/A",,"HEAD ON LEFT TURN","CLEAR","DRY","DAYLIGHT","STOP SIGN","NONE DETECTED",,"8016D1BD-A67E-438B-B946-91FBA694A4C4","No","NO APPARENT INJURY","N/A","NOT DISTRACTED","MD","14B851EB-7F9D-4E3B-83CE-A2061B8A0727","DISABLING","TWELVE OCLOCK","TWELVE OCLOCK","(SPORT) UTILITY VEHICLE","MOVING CONSTANT SPEED","North","North","40","No","No","2019","VW","SUV","NO MISUSE","39.19291767","-77.23845533","
,  
(39.19291767, -77.23845533)"
"MCP3051005M","220017560","Montgomery County Police","Property Damage Crash","2022-04-25T15:10:00.000","County","MARINELLI RD","County","CITADEL AVE",,"N/A",,"STRAIGHT MOVEMENT ANGLE","CLEAR","DRY","DAYLIGHT","STOP SIGN","NONE DETECTED",,"EA1B02A5-5A7A-4C2E-82F2-98D36D1004BD","Unknown","NO APPARENT INJURY","N/A","UNKNOWN","MD","15050EB3-E796-4527-83BF-C6310F31D130","DISABLING","ELEVEN OCLOCK","ELEVEN OCLOCK","PASSENGER CAR","MOVING CONSTANT SPEED","East","East","25","No","No","2014","HYUNDAI","ELANTRA","NO MISUSE","39.04741167","-77.10947","
,  
(39.04741167, -77.10947)"
"MCP3051005M","220017560","Montgomery County Police","Property Damage Crash","2022-04-25T15:10:00.000","County","MARINELLI RD","County","CITADEL AVE",,"N/A",,"STRAIGHT MOVEMENT ANGLE","CLEAR","DRY","DAYLIGHT","STOP SIGN","NONE DETECTED",,"D5C66AEA-9517-46AB-849B-5E1B3275AA20","Unknown","NO APPARENT INJURY","N/A","UNKNOWN","MD","C83EAD22-008E-4E12-BD33-82A650D04298","DISABLING","TWELVE OCLOCK","TWELVE OCLOCK","PASSENGER CAR","MOVING CONSTANT SPEED","South","South","25","No","No","2009","MERCEDES","CL550","NO MISUSE","39.04741167","-77.10947","
,  
(39.04741167, -77.10947)"
"MCP2291005Z","220017548","Montgomery County Police","Property Damage Crash","2022-04-25T14:33:00.000","County","FRIENDSHIP BLVD","County","WILLARD AVE",,"N/A",,"SAME DIRECTION SIDESWIPE","CLEAR","DRY","DAYLIGHT","N/A","NONE DETECTED",,"E78E9F9A-ECF3-4734-B388-D5811F5CFD0D","No","NO APPARENT INJURY","N/A","NOT DISTRACTED","PA","D0B7CBEB-F837-4686-80B7-7E4FC93EA0A5","DISABLING","TWO OCLOCK","TWO OCLOCK","VAN","MOVING CONSTANT SPEED","North","North","25","No","No","2020","GMC","SAVANA","NO MISUSE","38.96174751","-77.08887267","
,  
(38.96174751, -77.08887267)"
"MCP2291005Z","220017548","Montgomery County Police","Property Damage Crash","2022-04-25T14:33:00.000","County","FRIENDSHIP BLVD","County","WILLARD AVE",,"N/A",,"SAME DIRECTION SIDESWIPE","CLEAR","DRY","DAYLIGHT","N/A","NONE DETECTED",,"110D4289-4F49-4C8F-9DAE-49287FF512A2","Yes","NO APPARENT INJURY","N/A","LOOKED BUT DID NOT SEE","FL","92BAAC3A-696F-4360-A8D8-143BF0BF46B2","DISABLING","TEN OCLOCK","TEN OCLOCK","(SPORT) UTILITY VEHICLE","CHANGING LANES","North","North","25","No","No","2015","JEEP","SUV","NO MISUSE","38.96174751","-77.08887267","
,  
(38.96174751, -77.08887267)"
"MCP29360059","220017545","Montgomery County Police","Injury Crash","2022-04-25T14:20:00.000","Other Public Roadway","MONTROSE PKWY","County","E JEFFERSON ST",,"N/A",,"SAME DIR REAR END","CLEAR","DRY","DAYLIGHT","TRAFFIC SIGNAL","NONE DETECTED",,"8907EB1E-30A7-4833-8C7A-20873A8F528A","No","POSSIBLE INJURY","N/A","NOT DISTRACTED","IT","7BA7EBE1-C17B-484C-94B9-EBAD6C2ABD61","FUNCTIONAL","SIX OCLOCK","SIX OCLOCK","PASSENGER CAR","STOPPED IN TRAFFIC LANE","East","East","35","No","No","2018","KIA","FORTE","NO MISUSE","39.0507581","-77.12640887","
,  
(39.0507581, -77.12640887)"
"MCP29360059","220017545","Montgomery County Police","Injury Crash","2022-04-25T14:20:00.000","Other Public Roadway","MONTROSE PKWY","County","E JEFFERSON ST",,"N/A",,"SAME DIR REAR END","CLEAR","DRY","DAYLIGHT","TRAFFIC SIGNAL","NONE DETECTED",,"03DFEC85-AAA3-4151-AF9C-1C61D8F7BA5B","Yes","NO APPARENT INJURY","N/A","INATTENTIVE OR LOST IN THOUGHT","MD","125897CC-DF26-46D1-857D-763678D426BA","FUNCTIONAL","TWELVE OCLOCK","TWELVE OCLOCK","OTHER","SLOWING OR STOPPING","East","East","35","No","No","2001","HOND","ACCORD","NO MISUSE","39.0507581","-77.12640887","
,  
(39.0507581, -77.12640887)"
"MCP3129004H","220017539","Montgomery County Police","Property Damage Crash","2022-04-25T13:55:00.000","Maryland (State)","OLNEY SANDY SPRING RD","Unknown","VILLAGE CENTER DR",,"N/A",,"STRAIGHT MOVEMENT ANGLE","CLEAR","DRY","DAYLIGHT","TRAFFIC SIGNAL","NONE DETECTED",,"97206119-DBCD-4536-9647-27F0EB40606D","No","NO APPARENT INJURY","N/A","NOT DISTRACTED","MD","BCE89887-B78E-49F6-857B-1DB59162DA31","SUPERFICIAL","TWELVE OCLOCK","TWELVE OCLOCK","PASSENGER CAR","MOVING CONSTANT SPEED","West","West","30","No","No","2022","HYUN","SD","NO MISUSE","39.15207167","-77.06416333","
,  
(39.15207167, -77.06416333)"
"MCP3129004H","220017539","Montgomery County Police","Property Damage Crash","2022-04-25T13:55:00.000","Maryland (State)","OLNEY SANDY SPRING RD","Unknown","VILLAGE CENTER DR",,"N/A",,"STRAIGHT MOVEMENT ANGLE","CLEAR","DRY","DAYLIGHT","TRAFFIC SIGNAL","NONE DETECTED",,"CDCBC704-A1B8-42AF-94D7-694FA429C940","Yes","NO APPARENT INJURY","N/A","LOOKED BUT DID NOT SEE","MD","628D360B-54B9-4FDC-8438-B00C77E62D1B","FUNCTIONAL","TWO OCLOCK","TWO OCLOCK","PASSENGER CAR","MAKING LEFT TURN","North","East","30","No","No","2008","CHEVY","SW","NO MISUSE","39.15207167","-77.06416333","
,  
(39.15207167, -77.06416333)"
"MCP2689008F","220017541","Montgomery County Police","Injury Crash","2022-04-25T13:50:00.000","County","SHADY GROVE RD","Other Public Roadway","CORPORATE BLVD",,"N/A",,"HEAD ON LEFT TURN","CLEAR","DRY","DAYLIGHT","TRAFFIC SIGNAL","NONE DETECTED",,"8715DB0F-3DF8-4A26-9DED-D8D6F908D6C2","No","SUSPECTED MINOR INJURY","N/A","NOT DISTRACTED","MD","501CAC3A-054A-4A35-9E11-81BAB9C3E6D9","DISABLING","TWELVE OCLOCK","TWELVE OCLOCK","PASSENGER CAR","MOVING CONSTANT SPEED","North","North","40","No","No","2017","NISSAN","ALTIMA","NO MISUSE","39.107405","-77.189385","
,  
(39.107405, -77.189385)"
"MCP2689008F","220017541","Montgomery County Police","Injury Crash","2022-04-25T13:50:00.000","County","SHADY GROVE RD","Other Public Roadway","CORPORATE BLVD",,"N/A",,"HEAD ON LEFT TURN","CLEAR","DRY","DAYLIGHT","TRAFFIC SIGNAL","NONE DETECTED",,"A8335940-F840-4E30-889D-A64E8A0F017D","Yes","NO APPARENT INJURY","N/A","UNKNOWN","VA","3F963DB6-EC13-4AD5-8482-ECDB3B8DA620","DISABLING","TWELVE OCLOCK","TWELVE OCLOCK","PASSENGER CAR","MAKING LEFT TURN","East","South","40","No","No","2016","VOLKSWAGEN","PASSAT","NO MISUSE","39.107405","-77.189385","
,  
(39.107405, -77.189385)"
