"report_number","local_case_number","agency_name","acrs_report_type","crash_date_time","route_type","road_name","cross_street_type","cross_street_name","off_road_description","municipality","related_non_motorist","collision_type","weather","surface_condition","light","traffic_control","driver_substance_abuse","non_motorist_substance_abuse","person_id","driver_at_fault","injury_severity","circumstance","driver_distracted_by","drivers_license_state","vehicle_id","vehicle_damage_extent","vehicle_first_impact_location","vehicle_second_impact_location","vehicle_body_type","vehicle_movement","vehicle_continuing_dir","vehicle_going_dir","speed_limit","driverless_vehicle","parked_vehicle","vehicle_year","vehicle_make","vehicle_model","equipment_problems","latitude","longitude","geolocation"
"MCP2825001Q","220018825","Montgomery County Police","Injury Crash","2022-05-03T17:30:00.000","County","MIDDLEBROOK RD","Maryland (State)","GERMANTOWN RD",,"N/A",,"SAME DIRECTION LEFT TURN","CLEAR","DRY","DAYLIGHT","NO CONTROLS","NONE DETECTED",,"93785CA7-2F47-4A57-A87D-0FA029745A5F","Yes","NO APPARENT INJURY","N/A","LOOKED BUT DID NOT SEE","MD","4DEF86D3-FD71-4955-9B4B-88A9BDF3E4A3","FUNCTIONAL","ONE OCLOCK","ONE OCLOCK","PASSENGER CAR","ACCELERATING","West","West","40","No","No","2016","TOYT","TK","NO MISUSE","39.17775833","-77.26563167","
,  
(39.17775833, -77.26563167)"
"MCP3309000V","220018826","Montgomery County Police","Property Damage Crash","2022-05-03T17:27:00.000","County","GLEN RD","County","S GLEN RD",,"N/A",,"HEAD ON","CLEAR","DRY","DAYLIGHT","STOP SIGN","NONE DETECTED",,"AF8773EA-2114-4266-854C-DE255C0A3303","Yes","NO APPARENT INJURY","N/A","NOT DISTRACTED","MD","162FE61B-0FC0-4ED2-AE56-04F38106D3DF","DISABLING","TWELVE OCLOCK","TWELVE OCLOCK","PASSENGER CAR","MAKING LEFT TURN","West","North","20","No","No","2015","NISS","4S","NO MISUSE","39.04605006","-77.21784058","
,  
(39.04605006, -77.21784058)"
"MCP3309000V","220018826","Montgomery County Police","Property Damage Crash","2022-05-03T17:27:00.000","County","GLEN RD","County","S GLEN RD",,"N/A",,"HEAD ON","CLEAR","DRY","DAYLIGHT","STOP SIGN","NONE DETECTED",,"D3141B53-72CE-4B8C-803B-7D21D27C8CD6","No","NO APPARENT INJURY","N/A","NOT DISTRACTED","MD","7DEB78B3-1F32-4DC0-B222-BA9BBEF750BD","FUNCTIONAL","ELEVEN OCLOCK","ELEVEN OCLOCK","PASSENGER CAR","STOPPED IN TRAFFIC LANE","East","East","20","No","No","2018","INFI","TK","NO MISUSE","39.04605006","-77.21784058","
,  
(39.04605006, -77.21784058)"
"MCP32630025","220018823","Montgomery County Police","Property Damage Crash","2022-05-03T17:15:00.000",,,,,"PARKING LOT OF 7600 ARLINGTON RD",,,"SAME DIRECTION SIDESWIPE","CLEAR",,"DAYLIGHT","TRAFFIC SIGNAL","NONE DETECTED",,"10883137-9603-402E-AC25-EA367B2AE972","No","NO APPARENT INJURY","N/A","NOT DISTRACTED","MD","490F47FF-ED0C-47E2-98DC-88E9531229F0","SUPERFICIAL","EIGHT OCLOCK","EIGHT OCLOCK","PASSENGER CAR","MAKING LEFT TURN","East","East","5","No","No","2013","THOMAS","BUS","NO MISUSE","38.98607","-77.099085","
,  
(38.98607, -77.099085)"
"MCP32630025","220018823","Montgomery County Police","Property Damage Crash","2022-05-03T17:15:00.000",,,,,"PARKING LOT OF 7600 ARLINGTON RD",,,"SAME DIRECTION SIDESWIPE","CLEAR",,"DAYLIGHT","TRAFFIC SIGNAL","NONE DETECTED",,"08BF8497-4E46-47E1-A638-713CD9008D27","Yes","NO APPARENT INJURY","N/A","LOOKED BUT DID NOT SEE","MD","30269A64-F4FD-4B62-B9B0-05C599EF6111","DISABLING","ONE OCLOCK","ONE OCLOCK","PASSENGER CAR","CHANGING LANES","East","East","5","No","No","2019","HONDA","PILOT","NO MISUSE","38.98607","-77.099085","
,  
(38.98607, -77.099085)"
"DD5651001Q","220018810","Rockville Police Departme","Injury Crash","2022-05-03T16:02:00.000","Municipality","W GUDE DR","Municipality","RESEARCH BLVD",,"ROCKVILLE",,"SAME DIR REAR END","CLEAR","DRY","DAYLIGHT","TRAFFIC SIGNAL","NONE DETECTED",,"73650D1C-C5DF-48AE-A5FE-EC2DDB87D15B","No","NO APPARENT INJURY","N/A","NOT DISTRACTED","MD","2E8EDC27-9C89-4FBF-8F64-7D5F94D6AEC1","SUPERFICIAL","SIX OCLOCK","SIX OCLOCK","PASSENGER CAR","STOPPED IN TRAFFIC LANE","West","West","35","No","No","2017","TOYT","TK","NO MISUSE","39.10019926","-77.1818889","
,  
(39.10019926, -77.1818889)"
"DD5651001Q","220018810","Rockville Police Departme","Injury Crash","2022-05-03T16:02:00.000","Municipality","W GUDE DR","Municipality","RESEARCH BLVD",,"ROCKVILLE",,"SAME DIR REAR END","CLEAR","DRY","DAYLIGHT","TRAFFIC SIGNAL","NONE DETECTED",,"2B87DC0F-0BEF-4FF9-A0AC-EEAB2F1C9DFC","Yes","NO APPARENT INJURY","N/A","NOT DISTRACTED","MD","3F467376-A607-4526-B8B6-373ACB1DF2FF","DISABLING","TWELVE OCLOCK","TWELVE OCLOCK","PASSENGER CAR","SLOWING OR STOPPING","West","West","35","No","No","2009","FORD","4S","NO MISUSE","39.10019926","-77.1818889","
,  
(39.10019926, -77.1818889)"
"DD5651001Q","220018810","Rockville Police Departme","Injury Crash","2022-05-03T16:02:00.000","Municipality","W GUDE DR","Municipality","RESEARCH BLVD",,"ROCKVILLE",,"SAME DIR REAR END","CLEAR","DRY","DAYLIGHT","TRAFFIC SIGNAL","NONE DETECTED",,"DB2294A7-1F72-4F79-B855-02D4848367BE","No","NO APPARENT INJURY","N/A","NOT DISTRACTED","MD","5FF94671-41A5-4B14-8FD7-F786E7098D65","SUPERFICIAL","SIX OCLOCK","SIX OCLOCK","PASSENGER CAR","STOPPED IN TRAFFIC LANE","West","West","35","No","No","2010","NISS","SU","NO MISUSE","39.10019926","-77.1818889","
,  
(39.10019926, -77.1818889)"
"MCP2968004C","220018764","Montgomery County Police","Injury Crash","2022-05-03T10:40:00.000","County","SEVEN LOCKS RD","County","POSTOAK RD",,"N/A",,"HEAD ON LEFT TURN","CLEAR","DRY","DAYLIGHT","TRAFFIC SIGNAL","N/A",,"B9DF62FB-A83A-4AEB-8FF8-A1B87533A3B6","Unknown","POSSIBLE INJURY","N/A","UNKNOWN","MD","B6016B8B-BB0D-4F3C-A239-604C0B3AC8D3","DISABLING","TWELVE OCLOCK","TWELVE OCLOCK","PASSENGER CAR","MOVING CONSTANT SPEED","South","South","35","No","No","2017","HOND","CIVIC","NO MISUSE","39.10926167","-77.18101167","
,  
(39.10926167, -77.18101167)"
"MCP2968004C","220018764","Montgomery County Police","Injury Crash","2022-05-03T10:40:00.000","County","SEVEN LOCKS RD","County","POSTOAK RD",,"N/A",,"HEAD ON LEFT TURN","CLEAR","DRY","DAYLIGHT","TRAFFIC SIGNAL","N/A",,"2D7B3115-805F-44C8-A731-648ECDAC3C10","Unknown","NO APPARENT INJURY","N/A","UNKNOWN","MD","4CB61078-4765-4158-93A2-B6F6B51AEA34","FUNCTIONAL","TWELVE OCLOCK","TWELVE OCLOCK","PASSENGER CAR","MAKING LEFT TURN","North","East","35","No","No","2017","HOND","ACCORD","NO MISUSE","39.10926167","-77.18101167","
,  
(39.10926167, -77.18101167)"
"MCP3165003S","220018745","Montgomery County Police","Property Damage Crash","2022-05-03T09:00:00.000","County","FENTON ST","County","WAYNE AVE",,"N/A",,"SAME DIR REAR END","CLOUDY","DRY","DAYLIGHT","TRAFFIC SIGNAL","NONE DETECTED",,"E7376848-904E-400D-9CA7-C5E72A4E77CF","No","NO APPARENT INJURY","N/A","NOT DISTRACTED","MD","C4E5333F-F72A-4BE3-82AE-9F2F6C924EB7","FUNCTIONAL","SIX OCLOCK","SIX OCLOCK","(SPORT) UTILITY VEHICLE","STOPPED IN TRAFFIC LANE","East","East","30","No","No","2021","LEXS","UT","N/A","38.99591433","-77.02469467","
,  
(38.99591433, -77.02469467)"
"MCP3165003S","220018745","Montgomery County Police","Property Damage Crash","2022-05-03T09:00:00.000","County","FENTON ST","County","WAYNE AVE",,"N/A",,"SAME DIR REAR END","CLOUDY","DRY","DAYLIGHT","TRAFFIC SIGNAL","NONE DETECTED",,"F95AC583-6315-4451-8426-2EC9AB6927DC","Yes","NO APPARENT INJURY","N/A","NOT DISTRACTED","MD","72A17317-3CF1-4CC0-AD3A-0903A3E375CB","FUNCTIONAL","TWELVE OCLOCK","TWELVE OCLOCK","TRANSIT BUS","SLOWING OR STOPPING","East","East","30","No","No","2015","GILL","BUS","N/A","38.99591433","-77.02469467","
,  
(38.99591433, -77.02469467)"
"MCP2625001J","220018739","Montgomery County Police","Property Damage Crash","2022-05-03T08:35:00.000","Maryland (State)","ROCKVILLE PIKE","Maryland (State)","STRATHMORE AVE",,"N/A",,"SAME DIR REND RIGHT TURN","CLOUDY","DRY","DAYLIGHT","WARNING SIGN","N/A",,"589270FE-29DF-4550-8C6B-48E230A21B3C","Yes","NO APPARENT INJURY","N/A","NOT DISTRACTED","MD","D8C4B211-F7B9-4E86-97E8-6DA12137D505","FUNCTIONAL","TWELVE OCLOCK","ONE OCLOCK","(SPORT) UTILITY VEHICLE","SLOWING OR STOPPING","East","East","25","No","No","2014","NISSAN","ROGUE","NO MISUSE","39.03446667","-77.10665667","
,  
(39.03446667, -77.10665667)"
"MCP2625001J","220018739","Montgomery County Police","Property Damage Crash","2022-05-03T08:35:00.000","Maryland (State)","ROCKVILLE PIKE","Maryland (State)","STRATHMORE AVE",,"N/A",,"SAME DIR REND RIGHT TURN","CLOUDY","DRY","DAYLIGHT","WARNING SIGN","NONE DETECTED",,"80463F9B-1583-45B2-AAD2-6ABDC89D3AE3","No","NO APPARENT INJURY","N/A","NOT DISTRACTED","MD","3F3CDF4D-676B-4144-B69F-9AA681C48B36","SUPERFICIAL","SIX OCLOCK","SIX OCLOCK","(SPORT) UTILITY VEHICLE","SLOWING OR STOPPING","East","East","25","No","No","2011","LEXUS","RX350","NO MISUSE","39.03446667","-77.10665667","
,  
(39.03446667, -77.10665667)"
"EJ78880026","220018729","Gaithersburg Police Depar","Property Damage Crash","2022-05-03T06:25:00.000","Ramp","RAMP 7 FR MD 117 WB TO RAMP 6 (TO IS270)","Maryland (State)","W DIAMOND AVE",,"N/A",,"SAME DIR REAR END","CLEAR","DRY","DAWN","YIELD SIGN","NONE DETECTED",,"1AABDA2F-7A2F-447A-8EEC-1C382CCD6AB8","Yes","NO APPARENT INJURY","N/A","LOOKED BUT DID NOT SEE","MD","DB674DE6-BD63-40C0-BF1A-44EA73DFC156","FUNCTIONAL","TWELVE OCLOCK","TWELVE OCLOCK","PASSENGER CAR","SLOWING OR STOPPING","South","South","55","No","No","2017","HONDA","ACCORD","NO MISUSE","39.14043933","-77.21427313","
,  
(39.14043933, -77.21427313)"
"EJ78880026","220018729","Gaithersburg Police Depar","Property Damage Crash","2022-05-03T06:25:00.000","Ramp","RAMP 7 FR MD 117 WB TO RAMP 6 (TO IS270)","Maryland (State)","W DIAMOND AVE",,"N/A",,"SAME DIR REAR END","CLEAR","DRY","DAWN","YIELD SIGN","NONE DETECTED",,"0D1022EE-A8C5-4F78-BE44-04AAF2337A25","No","NO APPARENT INJURY","N/A","NOT DISTRACTED","MD","16DCC194-8474-4B15-9353-21AEFCAA6FF7","FUNCTIONAL","SIX OCLOCK","SIX OCLOCK","PASSENGER CAR","SLOWING OR STOPPING","South","South","55","No","No","2017","TOYT","4S","NO MISUSE","39.14043933","-77.21427313","
,  
(39.14043933, -77.21427313)"
"MCP1233004J","220018693","Montgomery County Police","Property Damage Crash","2022-05-02T19:03:00.000","Maryland (State)","ROCKVILLE PIKE","Unknown","SOUTHWOOD DR",,"N/A",,"SAME DIRECTION LEFT TURN","CLEAR","DRY","DAYLIGHT","NO CONTROLS","NONE DETECTED",,"2577B4AF-AD37-4ACC-B696-356178A3892E","No","NO APPARENT INJURY","N/A","NOT DISTRACTED","MD","6C4E7B9B-6F8E-47BD-8332-126519607315","SUPERFICIAL","ONE OCLOCK","ONE OCLOCK","PASSENGER CAR","SLOWING OR STOPPING","North","North","35","No","No","2018","AUDI","S4","NO MISUSE","38.99918667","-77.09802","
,  
(38.99918667, -77.09802)"
"MCP1233004J","220018693","Montgomery County Police","Property Damage Crash","2022-05-02T19:03:00.000","Maryland (State)","ROCKVILLE PIKE","Unknown","SOUTHWOOD DR",,"N/A",,"SAME DIRECTION LEFT TURN","CLEAR","DRY","DAYLIGHT","NO CONTROLS","NONE DETECTED",,"354F4C48-9521-49F0-946C-3845F6E9476B","Yes","NO APPARENT INJURY","N/A","NOT DISTRACTED","MD","F81990AB-FD59-41CB-8BDF-269A98180ECF","SUPERFICIAL","SEVEN OCLOCK","SEVEN OCLOCK","TRANSIT BUS","CHANGING LANES","North","North","35","No","No","2009","METRO","BUS","NO MISUSE","38.99918667","-77.09802","
,  
(38.99918667, -77.09802)"
"MCP3134003F","220018667","Montgomery County Police","Property Damage Crash","2022-05-02T16:14:00.000","County","ADELPHI RD","Maryland (State)","NEW HAMPSHIRE AVE",,"N/A",,"SAME DIRECTION RIGHT TURN","CLEAR","DRY","DAYLIGHT","TRAFFIC SIGNAL","N/A",,"27E3B9E3-C4C9-41C8-995A-3503934A23EB","No","NO APPARENT INJURY","N/A","NOT DISTRACTED","MD","BF99295E-59A6-4D33-8B6C-0D467E4B5C91","FUNCTIONAL","SEVEN OCLOCK","SEVEN OCLOCK","PASSENGER CAR","MAKING RIGHT TURN","North","West","40","No","No","2015","LEXUS","RX350","NO MISUSE","39.0114437","-76.97869592","
,  
(39.0114437, -76.97869592)"
"MCP3134003F","220018667","Montgomery County Police","Property Damage Crash","2022-05-02T16:14:00.000","County","ADELPHI RD","Maryland (State)","NEW HAMPSHIRE AVE",,"N/A",,"SAME DIRECTION RIGHT TURN","CLEAR","DRY","DAYLIGHT","TRAFFIC SIGNAL","UNKNOWN",,"5E631ABE-7C56-431D-8341-53AC3B613CC5","Yes","NO APPARENT INJURY","N/A","UNKNOWN",,"F9ECF734-A9EE-4AA3-9992-80A44D859548","FUNCTIONAL","ONE OCLOCK","ONE OCLOCK","PASSENGER CAR","MAKING RIGHT TURN","North","West","40","No","No","2019","VOLK","PASSAT","UNKNOWN","39.0114437","-76.97869592","
,  
(39.0114437, -76.97869592)"
"MCP1233004H","220018658","Montgomery County Police","Injury Crash","2022-05-02T15:45:00.000","County","CEDAR LA","County","CHANUTE DR",,"N/A",,"SAME DIR REAR END","CLEAR","DRY","DAYLIGHT","NO CONTROLS","NONE DETECTED",,"1EB77B74-98A7-41F8-85E9-C0BEB0CE8BE5","Yes","NO APPARENT INJURY","N/A","NOT DISTRACTED","MD","BC8F69D2-384E-4584-9C8B-CF0656A3542F","DESTROYED","TWELVE OCLOCK","TWELVE OCLOCK","PASSENGER CAR","SLOWING OR STOPPING","West","West","35","No","No","2008","HONDA","PILOT","NO MISUSE","39.00911333","-77.09202","
,  
(39.00911333, -77.09202)"
"MCP1233004H","220018658","Montgomery County Police","Injury Crash","2022-05-02T15:45:00.000","County","CEDAR LA","County","CHANUTE DR",,"N/A",,"SAME DIR REAR END","CLEAR","DRY","DAYLIGHT","NO CONTROLS","NONE DETECTED",,"AA8E614C-2D8C-428C-9854-71FC0FEEF719","No","POSSIBLE INJURY","N/A","NOT DISTRACTED","MD","55C90A63-348A-4325-A92F-E90D386DBF61","FUNCTIONAL","SIX OCLOCK","SIX OCLOCK","PASSENGER CAR","SLOWING OR STOPPING","West","West","35","No","No","2014","SUBARU","SW","NO MISUSE","39.00911333","-77.09202","
,  
(39.00911333, -77.09202)"
